week_end_date,limit_up_ratio,limit_down_ratio,net_limit_ratio,total_signal_count,base_position,weighted_position,trend_position,benchmark_value_weight_ret,base_model_ret,trend_model_ret,weighted_model_ret
2018-07-06,0.012171712816771428,0.009454106709141666,0.0027176061076297615,1,0.5,0.0,1.0,-0.035333356471136224,0.0210643927446168,0.0421287854892336,0.0
2018-07-13,0.01663071930981075,0.004186080372743157,0.012444638937067591,3,1.0,0.0,1.0,0.0421287854892336,0.0004424064734194211,0.0004424064734194211,0.0
2018-07-20,0.013523268407364628,0.004583160232103734,0.008940108175260891,2,0.75,0.0,1.0,0.0004424064734194211,0.010152764820284599,0.013537019760379465,0.0
2018-07-27,0.017652050919377653,0.0024328147100424326,0.015219236209335222,3,1.0,0.0,1.0,0.013537019760379465,-0.05376210606465548,-0.05376210606465548,-0.0
2018-08-03,0.008766968325791855,0.005147058823529412,0.003619909502262443,1,0.5,0.0,1.0,-0.05376210606465548,0.011383469408023594,0.02276693881604719,0.0
2018-08-10,0.011760740411507006,0.007407327496306908,0.004353412915200098,2,0.75,0.0,1.0,0.02276693881604719,-0.033513348021588174,-0.04468446402878423,-0.0
2018-08-17,0.007687959299039005,0.003278688524590164,0.00440927077444884,1,0.5,0.0,1.0,-0.04468446402878423,0.010345575044572564,0.020691150089145127,0.0
2018-08-24,0.008309779536461278,0.0035613340870548336,0.004748445449406444,1,0.5,0.0,1.0,0.020691150089145127,-0.0007570436880792175,-0.001514087376158435,-0.0
2018-08-31,0.006778608491056604,0.0024851419767208593,0.004293466514335743,1,0.5,0.0,1.0,-0.001514087376158435,-0.003991612306776027,-0.007983224613552053,-0.0
2018-09-07,0.011289867344058705,0.0015241320914479255,0.009765735252610782,3,1.0,0.0,1.0,-0.007983224613552053,-0.010668955110171185,-0.010668955110171185,-0.0
2018-09-14,0.007504385727521355,0.00496537583535772,0.0025390098921636364,1,0.5,0.0,1.0,-0.010668955110171185,0.02076303359483167,0.04152606718966334,0.0
2018-09-21,0.01071088014627769,0.003101022015166695,0.007609858131110996,3,1.0,0.0,1.0,0.04152606718966334,0.005327586885088609,0.005327586885088609,0.0
2018-09-28,0.007248308056391595,0.0030962526422314927,0.004152055414160102,2,0.75,0.0,1.0,0.005327586885088609,-0.06189971367728614,-0.08253295156971485,-0.0
2018-10-12,0.008893892485223754,0.07199549676329861,-0.06310160427807486,1,0.5,0.0,1.0,-0.08253295156971485,-0.00924897028505306,-0.01849794057010612,-0.0
2018-10-19,0.011982853783076806,0.015808926050104276,-0.0038260722670274685,0,0.0,0.0,0.0,-0.01849794057010612,0.0,0.0,0.0
2018-10-26,0.022999232346178483,0.001742994489050001,0.021256237857128484,1,0.5,0.0,1.0,0.022944588523468035,0.019843637434964867,0.039687274869929734,0.0
2018-11-02,0.01759415401911186,0.0033726812816188877,0.014221472737492974,3,1.0,0.0,1.0,0.039687274869929734,-0.022691612604600286,-0.022691612604600286,-0.0
2018-11-09,0.017759250692070506,0.002641459917298425,0.01511779077477208,3,1.0,0.0,1.0,-0.022691612604600286,0.046371221377635496,0.046371221377635496,0.0
2018-11-16,0.02679292615055991,0.0010110466824968932,0.02578187946806302,3,1.0,0.0,1.0,0.046371221377635496,-0.03881100320646691,-0.03881100320646691,-0.0
2018-11-23,0.014317798989331837,0.006625491297024143,0.007692307692307693,1,0.5,0.0,1.0,-0.03881100320646691,0.0018562461182745071,0.0037124922365490143,0.0
2018-11-30,0.010046596067864916,0.002413460526281177,0.00763313554158374,2,0.75,0.0,1.0,0.0037124922365490143,0.007306788065391978,0.009742384087189304,0.0
2018-12-07,0.011664411149691013,0.003756705426338306,0.007907705723352707,1,0.5,0.0,1.0,0.009742384087189304,-0.004075722313043817,-0.008151444626087634,-0.0
2018-12-14,0.007064116006089705,0.0016819443553953088,0.005382171650694395,1,0.5,0.0,1.0,-0.008151444626087634,-0.014726842047276256,-0.029453684094552512,-0.0
2018-12-21,0.006109865470852018,0.0017376681614349777,0.00437219730941704,1,0.5,0.0,1.0,-0.029453684094552512,-0.0043785960127591395,-0.008757192025518279,-0.0
2018-12-28,0.008238842323093605,0.0020737554451825445,0.006165086877911061,2,0.75,0.0,1.0,-0.008757192025518279,0.016002773890541167,0.02133703185405489,0.0
2019-01-11,0.017867886720023877,0.000615995532005834,0.017251891188018044,2,0.75,0.0,1.0,0.02133703185405489,0.0109839960219838,0.014645328029311733,0.0
2019-01-18,0.010744486820761229,0.001846702430539901,0.008897784390221328,1,0.5,0.0,1.0,0.014645328029311733,0.0015876384846974512,0.0031752769693949023,0.0
2019-01-25,0.01117432455644367,0.0018434351265208405,0.009330889429922828,3,1.0,0.0,1.0,0.0031752769693949023,0.0036151220445657106,0.0036151220445657106,0.0
2019-02-01,0.00719898840535692,0.01601724509978535,-0.008818256694428428,1,0.5,0.0,1.0,0.0036151220445657106,0.020134724610385013,0.040269449220770026,0.0
2019-02-15,0.01868811066747253,0.0002789400278940028,0.018409170639578525,4,1.0,0.8,1.0,0.040269449220770026,0.055011840304060255,0.055011840304060255,0.04400947224324821
2019-02-22,0.026424389550109867,0.0,0.026424389550109867,3,1.0,0.0,1.0,0.055011840304060255,0.06866744489426924,0.06866744489426924,0.0
2019-03-01,0.03370863202873807,0.003231197771587744,0.030477434257150327,2,0.75,0.0,1.0,0.06866744489426924,0.007631895708871905,0.01017586094516254,0.0
2019-03-08,0.04706209969367864,0.014090782511835143,0.0329713171818435,2,0.75,0.0,1.0,0.01017586094516254,0.017714684196627695,0.023619578928836926,0.0
2019-03-15,0.03462943357870329,0.008628615959753796,0.02600081761894949,3,1.0,0.8,1.0,0.023619578928836926,0.03345384983188171,0.03345384983188171,0.02676307986550537
2019-03-22,0.024700927962810194,0.0002781950841601019,0.024422732878650093,3,1.0,0.0,1.0,0.03345384983188171,0.00001943310068486248,0.00001943310068486248,0.0
2019-03-29,0.020449541515341736,0.004834290724011059,0.015615250791330675,2,0.75,0.0,1.0,0.00001943310068486248,0.03985825221387351,0.053144336285164684,0.0
2019-04-04,0.03331817878339365,0.0008328899014879729,0.03248528888190568,3,1.0,0.0,1.0,0.053144336285164684,-0.016703524216138188,-0.016703524216138188,-0.0
2019-04-12,0.023874807886511994,0.003386606540326765,0.02048820134618523,1,0.5,0.0,1.0,-0.016703524216138188,0.013756335499908845,0.02751267099981769,0.0
2019-04-19,0.020964535801322966,0.0011093700529777356,0.019855165748345227,3,1.0,0.0,1.0,0.02751267099981769,-0.0557868514574984,-0.0557868514574984,-0.0
2019-04-26,0.013800649104156095,0.011970198224920684,0.0018304508792354097,0,0.0,0.0,0.0,-0.0557868514574984,-0.0,-0.0,-0.0
2019-05-10,0.01970962090959502,0.06524393465363655,-0.04553431374404153,1,0.5,0.0,1.0,-0.04020712828060469,-0.008563306680817728,-0.017126613361635457,-0.0
2019-05-17,0.01875251196911189,0.002598992358666964,0.016153519610444925,2,0.75,0.0,1.0,-0.017126613361635457,-0.009845813265692838,-0.013127751020923784,-0.0
2019-05-24,0.015136782254588085,0.008175257387754988,0.006961524866833097,1,0.5,0.0,1.0,-0.013127751020923784,0.011041267805354749,0.022082535610709497,0.0
2019-05-31,0.019104430205632978,0.001601264270711707,0.017503165934921273,3,1.0,0.0,1.0,0.022082535610709497,-0.02945277035719507,-0.02945277035719507,-0.0
2019-06-06,0.011247108856283043,0.010970409037428887,0.00027669981885415727,0,0.0,0.0,0.0,-0.02945277035719507,0.0,0.0,0.0
2019-06-14,0.019756824236888175,0.0027038745527898306,0.017052949684098345,1,0.5,0.0,1.0,0.025761341828700157,0.024097617838026997,0.048195235676053994,0.0
2019-06-21,0.021006015678917904,0.0009377333048505808,0.02006828237406732,4,1.0,0.8,1.0,0.048195235676053994,-0.004701244759037104,-0.004701244759037104,-0.0037609958072296838
2019-06-28,0.013774151450709255,0.003471029126015651,0.010303122324693601,1,0.5,0.0,1.0,-0.004701244759037104,0.010189019615773343,0.020378039231546685,0.0
2019-07-05,0.012994261247784628,0.001486632610756463,0.011507628637028167,1,0.5,0.0,1.0,0.020378039231546685,-0.01159754644461869,-0.02319509288923738,-0.0
2019-07-12,0.008589141449765279,0.002201915785075818,0.00638722566468946,1,0.5,0.0,1.0,-0.02319509288923738,0.0011467437186514218,0.0022934874373028435,0.0
2019-07-19,0.009300091827225524,0.0007704705445059233,0.0085296212827196,2,0.75,0.0,1.0,0.0022934874373028435,0.018798941565530358,0.025065255420707144,0.0
2019-07-26,0.013546287648978672,0.0030597214610612153,0.010486566187917457,2,0.75,0.0,1.0,0.025065255420707144,-0.014152968648976333,-0.018870624865301777,-0.0
2019-08-02,0.008183395571638708,0.0008183306299205321,0.007365064941718176,3,1.0,0.0,1.0,-0.018870624865301777,-0.029160274166575184,-0.029160274166575184,-0.0
2019-08-09,0.008774378419922083,0.0022890959277876923,0.006485282492134391,2,0.75,0.0,1.0,-0.029160274166575184,0.02042640926024758,0.027235212346996773,0.0
2019-08-16,0.010777272912431168,0.000653150100541033,0.010124122811890134,2,0.75,0.0,1.0,0.027235212346996773,0.022137335687520354,0.029516447583360472,0.0
2019-08-23,0.016271398221965612,0.0004897515045191091,0.015781646717446498,2,0.75,0.0,1.0,0.029516447583360472,0.0018330638563476276,0.0024440851417968368,0.0
2019-08-30,0.014350604519378519,0.0014128516130712961,0.012937752906307224,2,0.75,0.0,1.0,0.0024440851417968368,0.033976464830879016,0.04530195310783869,0.0
2019-09-06,0.016515052396189323,0.0002716062987700266,0.016243446097419297,3,1.0,0.0,1.0,0.04530195310783869,0.013361554704900636,0.013361554704900636,0.0
2019-09-12,0.016150922909880565,0.0003393051031487514,0.015811617806731813,2,0.75,0.0,1.0,0.013361554704900636,-0.0032558256141686226,-0.004341100818891497,-0.0
2019-09-20,0.011397572734328522,0.0005427261248567232,0.010854846609471797,1,0.5,0.0,1.0,-0.004341100818891497,-0.013536810321330028,-0.027073620642660057,-0.0
2019-09-27,0.010685004417568525,0.0075380640968401675,0.0031469403207283566,2,0.75,0.0,1.0,-0.027073620642660057,0.019270189412787964,0.025693585883717285,0.0
2019-10-11,0.012459371614301192,0.0018959913326110508,0.01056338028169014,2,0.75,0.0,1.0,0.025693585883717285,-0.007746905535255366,-0.010329207380340488,-0.0
2019-10-18,0.010992687111556406,0.003302902182108676,0.007689784929447728,1,0.5,0.0,1.0,-0.010329207380340488,0.004589117125916031,0.009178234251832063,0.0
2019-10-25,0.009793845936798167,0.002597637033086909,0.0071962089037112585,2,0.75,0.0,1.0,0.009178234251832063,0.004032674936700231,0.005376899915600308,0.0
2019-11-01,0.015556949889265226,0.005721678763853528,0.009835271125411698,2,0.75,0.0,1.0,0.005376899915600308,0.005333808091289749,0.007111744121719665,0.0
2019-11-08,0.00920341461481276,0.0012918145454729412,0.007911600069339818,3,1.0,0.0,1.0,0.007111744121719665,-0.02340486371764594,-0.02340486371764594,-0.0
2019-11-15,0.008917483373530781,0.0027928842760616855,0.006124599097469094,3,1.0,0.0,1.0,-0.02340486371764594,0.0024878860154791127,0.0024878860154791127,0.0
2019-11-22,0.010726105387375898,0.0011793805686226128,0.009546724818753283,3,1.0,0.0,1.0,0.0024878860154791127,-0.004265683353677052,-0.004265683353677052,-0.0
2019-11-29,0.007872418077953665,0.0033204913924578874,0.004551926685495777,2,0.75,0.0,1.0,-0.004265683353677052,0.016101668928506452,0.02146889190467527,0.0
2019-12-06,0.009890095040520967,0.0006416544798709525,0.009248440560650013,3,1.0,0.0,1.0,0.02146889190467527,0.019089099636800277,0.019089099636800277,0.0
2019-12-13,0.010513470043576337,0.001174002252245631,0.009339467791330706,3,1.0,0.0,1.0,0.019089099636800277,0.01999328148130397,0.01999328148130397,0.0
2019-12-20,0.01514484971016299,0.0003730917185228363,0.014771757991640152,3,1.0,0.0,1.0,0.01999328148130397,0.0019660023543899285,0.0019660023543899285,0.0
2019-12-27,0.011929128748106326,0.002077641861202117,0.00985148688690421,3,1.0,0.0,1.0,0.0019660023543899285,0.025939938656599493,0.025939938656599493,0.0
2019-12-31,0.01366716035004296,0.0030369852079802973,0.01063017514206266,3,1.0,0.0,1.0,0.025939938656599493,0.01307516104838613,0.01307516104838613,0.0
2020-01-10,0.017381742230337276,0.0007441578038945762,0.0166375844264427,2,0.75,0.0,1.0,0.01307516104838613,0.004899043865385644,0.0065320584871808585,0.0
2020-01-17,0.013168966938615887,0.001592681066565052,0.011576285872050835,2,0.75,0.0,1.0,0.0065320584871808585,-0.018796112257840975,-0.025061483010454633,-0.0
2020-01-23,0.014649372851878277,0.009010398128232969,0.0056389747236453075,3,1.0,0.0,1.0,-0.025061483010454633,-0.013361908201412476,-0.013361908201412476,-0.0
2020-02-07,0.04585243968733909,0.16598605362961494,-0.12013361394227584,2,0.75,0.0,1.0,-0.013361908201412476,0.018656161697545803,0.024874882263394404,0.0
2020-02-14,0.024266702743587755,0.004019569697101353,0.020247133046486402,2,0.75,0.0,1.0,0.024874882263394404,0.044204466919399166,0.058939289225865554,0.0
2020-02-21,0.033412947994439536,0.0012139988841783846,0.03219894911026115,3,1.0,0.0,1.0,0.058939289225865554,-0.0472942427297568,-0.0472942427297568,-0.0
2020-02-28,0.028781360477346956,0.02197206415639575,0.006809296320951205,0,0.0,0.0,0.0,-0.0472942427297568,0.0,0.0,0.0
2020-03-06,0.03534223617963962,0.00015800562041233461,0.035184230559227286,3,1.0,0.0,1.0,0.06060223090930106,-0.050272228504511296,-0.050272228504511296,-0.0
2020-03-13,0.02242353512564143,0.0084755280621326,0.013948007063508827,1,0.5,0.0,1.0,-0.050272228504511296,-0.023252047889331606,-0.04650409577866321,-0.0
2020-03-20,0.018087912715283646,0.01241328790586787,0.005674624809415775,0,0.0,0.0,0.0,-0.04650409577866321,0.0,0.0,0.0
2020-03-27,0.016813070755027193,0.010036011331255073,0.006777059423772119,1,0.5,0.0,1.0,0.0047950198138231315,0.00003226693085089938,0.00006453386170179876,0.0
2020-04-03,0.015226253058614456,0.003675450256300005,0.011550802802314453,3,1.0,0.0,1.0,0.00006453386170179876,0.016212124934887884,0.016212124934887884,0.0
2020-04-10,0.02327907906621321,0.003539316398819707,0.019739762667393503,2,0.75,0.0,1.0,0.016212124934887884,0.014528511477338801,0.019371348636451735,0.0
2020-04-17,0.015876620884526155,0.0019392723973464879,0.013937348487179665,2,0.75,0.0,1.0,0.019371348636451735,-0.003919947128293438,-0.005226596171057918,-0.0
2020-04-24,0.01788771693686187,0.0031890916288972405,0.01469862530796463,3,1.0,0.8,1.0,-0.005226596171057918,0.021208160384819097,0.021208160384819097,0.016966528307855278
2020-04-30,0.014487612896560635,0.009793358530522461,0.004694254366038174,3,1.0,0.0,1.0,0.021208160384819097,0.02147993091344791,0.02147993091344791,0.0
2020-05-08,0.01981509352310675,0.0019989723673083677,0.017816121155798382,2,0.75,0.0,1.0,0.02147993091344791,-0.0006518510450332637,-0.0008691347267110183,-0.0
2020-05-15,0.015577733312465614,0.0008856880258980504,0.014692045286567562,3,1.0,0.0,1.0,-0.0008691347267110183,-0.02025369513108166,-0.02025369513108166,-0.0
2020-05-22,0.01727447399683047,0.004006014106426932,0.013268459890403535,2,0.75,0.0,1.0,-0.02025369513108166,0.014932098265057758,0.019909464353410344,0.0
2020-05-29,0.018079934291254325,0.002961606150891237,0.015118328140363088,3,1.0,0.0,1.0,0.019909464353410344,0.036771244292910454,0.036771244292910454,0.0
2020-06-05,0.022888548566427948,0.00217915013043283,0.020709398435995115,2,0.75,0.0,1.0,0.036771244292910454,0.004605131531505047,0.006140175375340062,0.0
2020-06-12,0.013570475217944583,0.0020206854006201906,0.011549789817324393,3,1.0,0.0,1.0,0.006140175375340062,0.029060245731157064,0.029060245731157064,0.0
2020-06-19,0.01712529290481496,0.001914083412767887,0.015211209492047073,2,0.75,0.0,1.0,0.029060245731157064,0.008931729728830218,0.011908972971773624,0.0
2020-06-24,0.01248391657112683,0.0014636320581166873,0.011020284513010141,2,0.75,0.0,1.0,0.011908972971773624,0.04475462715010997,0.05967283620014663,0.0
2020-07-03,0.020528576584664237,0.001186790890268513,0.019341785694395725,3,1.0,0.0,1.0,0.05967283620014663,0.10620122610500449,0.10620122610500449,0.0
2020-07-10,0.04397777949538466,0.00020588062005902206,0.043771898875325635,4,1.0,0.8,1.0,0.10620122610500449,-0.03258022170690689,-0.03258022170690689,-0.02606417736552551
2020-07-17,0.028103185273326597,0.018483646740468013,0.009619538532858584,1,0.5,0.0,1.0,-0.03258022170690689,0.0018116513353795272,0.0036233026707590543,0.0
2020-07-24,0.024942741341419772,0.005524666815498764,0.019418074525921016,2,0.75,0.0,1.0,0.0036233026707590543,0.039414565223250986,0.052552753631001314,0.0
2020-07-31,0.02548053909690857,0.0014309181536322278,0.024049620943276347,4,1.0,0.8,1.0,0.052552753631001314,0.015083669323992854,0.015083669323992854,0.012066935459194284
2020-08-07,0.0328628150008507,0.0022411567833400597,0.030621658217510637,3,1.0,0.0,1.0,0.015083669323992854,-3.52140215875707e-6,-3.52140215875707e-6,-0.0
2020-08-14,0.018146719106655128,0.004828721887525843,0.013317997219129286,2,0.75,0.0,1.0,-3.52140215875707e-6,0.009494232992102059,0.012658977322802745,0.0
2020-08-21,0.01941389014112056,0.0022291831326078267,0.017184707008512733,2,0.75,0.0,1.0,0.012658977322802745,0.020971072118943945,0.02796142949192526,0.0
2020-08-28,0.01269483651492558,0.0027203400695655954,0.009974496445359986,2,0.75,0.0,1.0,0.02796142949192526,-0.003820849428170764,-0.005094465904227685,-0.0
2020-09-04,0.010951555993932183,0.0015064796818361277,0.009445076312096054,2,0.75,0.0,1.0,-0.005094465904227685,-0.027030434622736688,-0.03604057949698225,-0.0
2020-09-11,0.00991943384059779,0.006611096848844486,0.003308336991753304,2,0.75,0.0,1.0,-0.03604057949698225,0.023216313791728616,0.030955085055638154,0.0
2020-09-18,0.010838688102356478,0.0008993513286787803,0.009939336773677697,2,0.75,0.0,1.0,0.030955085055638154,-0.02319208231862732,-0.03092277642483643,-0.0
2020-09-25,0.008902354424562824,0.0024348852516722233,0.006467469172890601,3,1.0,0.0,1.0,-0.03092277642483643,0.004014874433206694,0.004014874433206694,0.0
2020-09-30,0.006933473276395809,0.004623875842196573,0.002309597434199237,3,1.0,0.0,1.0,0.004014874433206694,0.02886622909487846,0.02886622909487846,0.0
2020-10-16,0.010782801309767307,0.0011372189018983095,0.009645582407868999,2,0.75,0.0,1.0,0.02886622909487846,-0.015212703764107743,-0.020283605018810325,-0.0
2020-10-23,0.006464970294988848,0.0010854820113932848,0.005379488283595564,3,1.0,0.0,1.0,-0.020283605018810325,-0.004135397005271546,-0.004135397005271546,-0.0
2020-10-30,0.005810045435155479,0.0024607767781482113,0.003349268657007268,2,0.75,0.0,1.0,-0.004135397005271546,0.02798151933857057,0.03730869245142743,0.0
2020-11-06,0.009731458132540258,0.0011798202479044921,0.008551637884635765,2,0.75,0.0,1.0,0.03730869245142743,0.0010958251724265677,0.0014611002299020903,0.0
2020-11-13,0.01030716003507694,0.0018648383236885783,0.00844232171138836,2,0.75,0.0,1.0,0.0014611002299020903,0.014501318296210097,0.019335091061613463,0.0
2020-11-20,0.009903260518892213,0.001372621301685421,0.008530639217206792,2,0.75,0.0,1.0,0.019335091061613463,0.0018628576395078866,0.0024838101860105155,0.0
2020-11-27,0.008421545102305625,0.0023008860333023403,0.0061206590690032845,2,0.75,0.0,1.0,0.0024838101860105155,0.014001753228118807,0.01866900430415841,0.0
2020-12-04,0.01041157902471156,0.0021014245289579523,0.008310154495753607,3,1.0,0.0,1.0,0.01866900430415841,-0.02751494210556038,-0.02751494210556038,-0.0
2020-12-11,0.008239278435847536,0.003802037514591017,0.004437240921256519,2,0.75,0.0,1.0,-0.02751494210556038,0.014657294245021879,0.019543058993362505,0.0
2020-12-18,0.010509247773201969,0.0036493047015696356,0.006859943071632334,2,0.75,0.0,1.0,0.019543058993362505,0.005691639872678622,0.007588853163571496,0.0
2020-12-25,0.013677969539759496,0.004073483960745649,0.009604485579013848,2,0.75,0.0,1.0,0.007588853163571496,0.02151382284065656,0.028685097120875414,0.0
2020-12-31,0.01674298897572719,0.005200321579096816,0.011542667396630377,3,1.0,0.0,1.0,0.028685097120875414,0.037497501982852954,0.037497501982852954,0.0
2021-01-08,0.017764329148594153,0.00415012673785334,0.013614202410740812,2,0.75,0.0,1.0,0.037497501982852954,-0.003622575698769337,-0.004830100931692449,-0.0
2021-01-15,0.015279013630193409,0.006073578758800976,0.009205434871392434,2,0.75,0.0,1.0,-0.004830100931692449,0.022513756486314096,0.030018341981752128,0.0
2021-01-22,0.019678699181005878,0.0018753721700092026,0.017803327010996673,2,0.75,0.0,1.0,0.030018341981752128,-0.027547299412685772,-0.036729732550247696,-0.0
2021-01-29,0.013724433021589936,0.007148910897338931,0.006575522124251004,2,0.75,0.0,1.0,-0.036729732550247696,0.005177712601487194,0.006903616801982926,0.0
2021-02-05,0.014993612238281499,0.009292210009924943,0.0057014022283565545,2,0.75,0.0,1.0,0.006903616801982926,0.040623743857336136,0.054164991809781515,0.0
2021-02-10,0.014808986749094165,0.003424344521256266,0.011384642227837896,3,1.0,0.0,1.0,0.054164991809781515,-0.052761704926856834,-0.052761704926856834,-0.0
2021-02-26,0.014017556856973413,0.0017163180937096827,0.01230123876326373,1,0.5,0.0,1.0,-0.052761704926856834,0.0025937797998943912,0.0051875595997887824,0.0
2021-03-05,0.015555436618616464,0.0019978707997185437,0.013557565818897919,2,0.75,0.0,1.0,0.0051875595997887824,-0.01396720307987509,-0.018622937439833454,-0.0
2021-03-12,0.012255474890861873,0.003849065024622371,0.008406409866239502,2,0.75,0.0,1.0,-0.018622937439833454,-0.006622704489867459,-0.008830272653156612,-0.0
2021-03-19,0.013999508499617567,0.0011865549748601878,0.012812953524757378,2,0.75,0.0,1.0,-0.008830272653156612,0.00934878126050065,0.012465041680667532,0.0
2021-03-26,0.015918969773445497,0.004217156847829199,0.011701812925616296,2,0.75,0.0,1.0,0.012465041680667532,0.018988048304047656,0.025317397738730207,0.0
2021-04-02,0.017950192251927958,0.0019367258005965604,0.016013466451331393,2,0.75,0.0,1.0,0.025317397738730207,-0.0035924664141155638,-0.004789955218820752,-0.0
2021-04-09,0.017439177822961553,0.0020616098324700944,0.015377567990491458,2,0.75,0.0,1.0,-0.004789955218820752,-0.002055811081435238,-0.002741081441913651,-0.0
2021-04-16,0.01630569248934465,0.004887319631346832,0.011418372857997816,2,0.75,0.0,1.0,-0.002741081441913651,0.02098463023832914,0.02797950698443885,0.0
2021-04-23,0.013072329483871692,0.0021545134129636995,0.01091781607090799,2,0.75,0.0,1.0,0.02797950698443885,0.002699857803244665,0.0035998104043262202,0.0
2021-04-30,0.012891826593351561,0.005370344435980063,0.007521482157371496,2,0.75,0.0,1.0,0.0035998104043262202,0.020766932648409953,0.02768924353121327,0.0
2021-05-14,0.017777749742355735,0.0010709051082610347,0.0167068446340947,4,1.0,0.8,1.0,0.02768924353121327,0.012759493555166923,0.012759493555166923,0.01020759484413354
2021-05-21,0.014576059047448287,0.002322212447558148,0.01225384659989014,2,0.75,0.0,1.0,0.012759493555166923,0.028315888736891393,0.03775451831585519,0.0
2021-05-28,0.014494804044420809,0.0007875953752825411,0.013707208669138268,2,0.75,0.0,1.0,0.03775451831585519,0.005977171246437318,0.007969561661916424,0.0
2021-06-04,0.016499238693931516,0.0020792905669294094,0.014419948127002109,2,0.75,0.0,1.0,0.007969561661916424,0.005541408687328442,0.0073885449164379224,0.0
